"doi_no","doi","record_index","start_line","end_line"
1,"10.1016/j.fcr.2025.110217","14; 17","680; 824","719; 870"
483,"10.1080/01490451.2025.2573813","893; 76692","46671; 4055789","46706; 4055824"
350,"10.1007/s11104-025-07986-3","895; 76550","46766; 4048147","46816; 4048197"
448,"10.1111/jbi.70064","906; 76655","47344; 4053780","47395; 4053831"
255,"10.1007/s42729-025-02764-7","907; 76449","47396; 4043002","47445; 4043051"
574,"10.1007/s11104-025-07844-2","908; 76794","47446; 4061035","47494; 4061083"
408,"10.1007/s11104-025-07734-7","910; 76612","47557; 4051460","47618; 4051521"
184,"10.1007/s11104-025-07979-2","911; 76368","47619; 4038819","47675; 4038875"
261,"10.1007/s11368-025-04139-y","912; 76457","47676; 4043384","47728; 4043436"
436,"10.1128/msphere.00348-25","913; 76641","47729; 4053019","47774; 4053064"
462,"10.1002/ldr.70227","921; 76669","48129; 4054528","48172; 4054571"
648,"10.1007/s11104-025-07982-7","922; 76882","48173; 4065643","48218; 4065688"
652,"10.1111/nph.70588","923; 76887","48219; 4065885","48266; 4065932"
537,"10.1093/etojnl/vgaf239","924; 76751","48267; 4058737","48315; 4058785"
396,"10.1007/s11104-025-07956-9","931; 76599","48619; 4050790","48671; 4050842"
121,"10.1111/jen.70024","933; 76298","48711; 4035032","48757; 4035078"
369,"10.1007/s11104-025-07913-6","944; 76571","49276; 4049303","49335; 4049362"
355,"10.1007/s11104-025-07905-6","945; 76555","49336; 4048425","49383; 4048472"
520,"10.1007/s11104-025-07918-1","948; 76732","49502; 4057807","49553; 4057858"
527,"10.22207/JPAM.19.4.08","949; 76741","49554; 4058244","49592; 4058282"
506,"10.1007/s00374-025-01950-0","966; 76716","50468; 4056997","50515; 4057044"
210,"10.1111/1365-2435.70190","988; 76399","51591; 4040402","51655; 4040466"
241,"10.1111/nph.70592","989; 76433","51656; 4042120","51718; 4042182"
502,"10.1007/s11104-025-07940-3","990; 76712","51719; 4056775","51773; 4056829"
214,"10.1080/10889868.2024.2381022","1006; 76405","52580; 4040723","52632; 4040775"
493,"10.1007/s00344-024-11373-0","1365; 76702","71820; 4056287","71866; 4056333"
145,"10.1007/s11104-024-06786-5","1480; 76326","78091; 4036585","78140; 4036634"
363,"10.1111/ecog.07144","1530; 76564","80871; 4048879","80925; 4048933"
581,"10.1007/s40502-024-00794-4","1589; 76802","84002; 4061440","84044; 4061482"
494,"10.1080/10889868.2024.2362350","1730; 76703","91862; 4056334","91910; 4056382"
243,"10.1002/jpln.70032","2005; 76435","106532; 4042242","106593; 4042303"
197,"10.1007/s11368-025-04154-z","2006; 76383","106594; 4039606","106648; 4039660"
486,"10.1007/s10658-025-03126-w","2008; 76695","106692; 4055927","106740; 4055975"
108,"10.1007/s11104-025-07864-y","2009; 76283","106741; 4034171","106793; 4034223"
681,"10.1007/s11104-025-07955-w","2010; 76920","106794; 4067551","106848; 4067605"
256,"10.1111/plb.70117","2031; 76450","107860; 4043052","107909; 4043101"
202,"10.1007/s11104-025-07971-w","2032; 76389","107910; 4039907","107960; 4039957"
424,"10.1002/jobm.70110","2035; 76629","108082; 4052344","108126; 4052388"
136,"10.1111/nph.70606","2063; 76316","109548; 4036004","109661; 4036117"
385,"10.1007/s40003-025-00899-8","2073; 76588","110123; 4050201","110169; 4050247"
471,"10.1007/s42729-025-02733-0","2075; 76679","110235; 4055056","110285; 4055106"
459,"10.1007/s13225-025-00562-1","2090; 76666","110987; 4054358","111057; 4054428"
99,"10.1016/j.dib.2025.111966","2112; 76274","112177; 4033691","112214; 4033728"
190,"10.1007/s11769-025-1562-x","2145; 76375","114159; 4039167","114221; 4039229"
280,"10.1002/ldr.70226","2155; 76477","114641; 4044360","114688; 4044407"
146,"10.1007/s11104-025-07907-4","2156; 76327","114689; 4036635","114741; 4036687"
624,"10.1111/nph.70617","2269; 76853","120771; 4064143","120824; 4064196"
215,"10.1080/1065657X.2025.2567534","2272; 76406","120934; 4040776","120965; 4040807"
187,"10.15244/pjoes/207658","2285; 76371","121628; 4038984","121666; 4039022"
238,"10.1002/ldr.70215","2288; 76430","121763; 4041967","121809; 4042013"
161,"10.1002/ldr.70224","2289; 76342","121810; 4037403","121851; 4037444"
399,"10.1111/1365-2435.70182","2295; 76603","122113; 4050988","122184; 4051059"
339,"10.1002/jsfa.70198","2296; 76538","122185; 4047492","122229; 4047536"
583,"10.1002/ps.70236","2297; 76804","122230; 4061528","122286; 4061584"
289,"10.15666/aeer/2306_1100911019","2304; 76486","122618; 4044816","122661; 4044859"
451,"10.1002/oik.11254","2327; 76658","123760; 4053926","123829; 4053995"
580,"10.1111/afe.70003","2330; 76801","123951; 4061393","123997; 4061439"
497,"10.1111/pce.70205","2331; 76706","123998; 4056481","124049; 4056532"
230,"10.1007/s11104-025-07853-1","2332; 76422","124050; 4041576","124107; 4041633"
275,"10.15244/pjoes/207056","2343; 76472","124600; 4044123","124643; 4044166"
541,"10.1094/PBIOMES-04-25-0027-R","2348; 76756","124818; 4058978","124862; 4059022"
427,"10.1002/jpln.70027","2352; 76632","125046; 4052488","125082; 4052524"
120,"10.1007/s11104-025-07858-w","2354; 76297","125143; 4034984","125190; 4035031"
539,"10.1007/s00344-025-11884-4","2355; 76753","125191; 4058831","125229; 4058869"
614,"10.1080/15226514.2025.2563132","2374; 76839","126188; 4063416","126232; 4063460"
446,"10.1007/s12223-025-01311-2","2377; 76652","126319; 4053642","126357; 4053680"
610,"10.1111/pce.70197","2392; 76834","127079; 4063131","127132; 4063184"
225,"10.1002/ldr.70204","2397; 76417","127367; 4041324","127423; 4041380"
517,"10.1007/s11104-025-07892-8","2398; 76729","127424; 4057650","127473; 4057699"
126,"10.1007/s11104-025-07919-0","2399; 76304","127474; 4035333","127526; 4035385"
173,"10.1111/pce.70202","2400; 76355","127527; 4038128","127580; 4038181"
335,"10.1007/s12223-025-01341-w","2401; 76534","127581; 4047300","127621; 4047340"
461,"10.1007/s11104-025-07895-5","2405; 76668","127801; 4054487","127841; 4054527"
156,"10.1002/ecog.07980","2420; 76337","128524; 4037116","128597; 4037189"
