"doi_no","doi","record_index","start_line","end_line"
1,"10.1016/j.fcr.2025.110217","14; 17","680; 824","719; 870"
347,"10.1093/biosci/biae140","46911; 76547","2557009; 4047968","2557091; 4048050"
48,"10.1038/sdata.2016.28","47106; 76223","2567894; 4030855","2568029; 4030990"
582,"10.15244/pjoes/195692","57123; 76803","3093733; 4061483","3093777; 4061527"
422,"10.1080/00224561.2024.2435683","57144; 76627","3094817; 4052247","3094864; 4052294"
13,"10.15244/pjoes/193907","57158; 57492; 76884","3095575; 3113550; 4065739","3095625; 3113602; 4065789"
598,"10.15244/pjoes/195365","57159; 76820","3095626; 4062411","3095668; 4062453"
14,"10.15244/pjoes/193914","57191; 57494; 76373","3097364; 3113651; 4039074","3097413; 3113703; 4039123"
586,"10.1007/s11104-025-07212-0","57215; 76808","3098630; 4061752","3098676; 4061798"
388,"10.1007/s11104-024-07127-2","57298; 76591","3103063; 4050355","3103116; 4050408"
478,"10.1002/ppp3.10634","57318; 76687","3104153; 4055469","3104205; 4055521"
189,"10.1111/pce.15384","57328; 76374","3104698; 4039124","3104740; 4039166"
545,"10.1111/1749-4877.12946","57357; 76761","3106275; 4059243","3106331; 4059299"
17,"10.15244/pjoes/193585","57493; 68951; 76845","3113603; 3691543; 4063703","3113650; 3691588; 4063748"
16,"10.15666/aeer/2301_15891604","57740; 68177; 76821","3126254; 3650453; 4062454","3126314; 3650509; 4062510"
309,"10.15666/aeer/2302_29873004","68037; 76507","3642961; 4045909","3643007; 4045955"
180,"10.1007/s10668-024-05811-y","68101; 76362","3646385; 4038506","3646431; 4038552"
425,"10.1111/njb.04438","68138; 76630","3648336; 4052389","3648379; 4052432"
114,"10.1007/s11104-024-07097-5","68229; 76290","3653280; 4034566","3653336; 4034622"
328,"10.1007/s11104-024-07061-3","68274; 76526","3655657; 4046901","3655709; 4046953"
492,"10.1094/PBIOMES-03-24-0034-R","68756; 76701","3681115; 4056222","3681179; 4056286"
36,"10.1016/j.dib.2024.111098","68813; 76211","3684170; 4029784","3684212; 4029826"
155,"10.1007/s10668-024-05589-z","68964; 76336","3692243; 4037073","3692285; 4037115"
558,"10.1080/15715124.2024.2416030","74467; 76777","3934608; 4060135","3934651; 4060178"
501,"10.1007/s12088-024-01412-5","74534; 76711","3938227; 4056733","3938268; 4056774"
683,"10.1080/14614103.2024.2415725","74587; 76924","3941118; 4067826","3941165; 4067873"
412,"10.1007/s11104-024-06990-3","74650; 76616","3944763; 4051690","3944813; 4051740"
597,"10.1007/s11368-024-03916-5","74671; 76819","3945943; 4062361","3945992; 4062410"
398,"10.1007/s11104-024-06980-5","74699; 76601","3947485; 4050890","3947533; 4050938"
526,"10.1007/s12088-024-01382-8","74756; 76740","3950569; 4058209","3950603; 4058243"
413,"10.1007/s11104-024-06988-x","74771; 76617","3951335; 4051741","3951378; 4051784"
174,"10.1007/s42729-024-02026-y","74939; 76356","3959997; 4038182","3960047; 4038232"
479,"10.1007/s10668-024-05422-7","74971; 76688","3961690; 4055522","3961744; 4055576"
144,"10.1007/s11104-024-06940-z","75198; 76325","3974063; 4036536","3974111; 4036584"
485,"10.1017/S0954102024000166","75249; 76694","3976766; 4055879","3976813; 4055926"
627,"10.22207/JPAM.18.3.49","75532; 76859","3991588; 4064434","3991641; 4064487"
